"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"This [[movie]] was a suprise for me while I was surfing from channel to channel... I don't know why but it [[filled]] in me with warmth and happiness.","This [[kino]] was a suprise for me while I was surfing from channel to channel... I don't know why but it [[fill]] in me with warmth and happiness.",0.002883434295654297,0.0049163103103637695,1,1,1,15,"Failed"
"This [[film]] was [[Excellent]], I thought that the original one was quiet mediocre.","This [[movie]] was [[Marvellous]], I thought that the original one was quiet mediocre.",0.03513896465301514,0.6265920400619507,1,0,1,23,"Successful"
"Farrah Fawcett [[gives]] an award [[nominated]] performance as an attempted rape victim who turns the tables on her attacker.","Farrah Fawcett [[offers]] an award [[nominating]] performance as an attempted rape victim who turns the tables on her attacker.",0.017602145671844482,0.845977246761322,1,0,1,14,"Successful"
"My [[definition]] of a [[great]] movie is if you [[want]] to continue to see it over again.","My [[definitions]] of a [[marvellous]] movie is if you [[wanted]] to continue to see it over again.",0.003089725971221924,0.6251779198646545,1,0,1,24,"Successful"
"This is not the [[stuff]] of soap-operas but the [[sort]] of conundrums that [[real]] people [[face]] in real life.","This is not the [[thing]] of soap-operas but the [[kind]] of conundrums that [[actual]] people [[encountering]] in real life.",0.02067464590072632,0.4888937473297119,1,1,1,18,"Failed"
"i [[would]] [[give]] this movie an 8.5 or a 9.","i [[should]] [[confer]] this movie an 8.5 or a 9.",0.011291980743408203,0.8581767678260803,1,0,1,6,"Successful"
"[[Probably]] one of the worst [[movies]] ever [[made]], I'm still trying to figure if it was [[meant]] to be fun, but for sure I had no fun at all.","[[Admittedly]] one of the worst [[film]] ever [[effected]], I'm still trying to figure if it was [[intended]] to be fun, but for sure I had no fun at all.",0.002043485641479492,0.005002379417419434,0,0,0,28,"Failed"
"[[In]] my opinion, October Sky is one of the best movies of 1999...It totally has everything an emotional drama movie would need, like, [[wonderful]] [[story]] and [[good]] character interactions.","[[Onto]] my opinion, October Sky is one of the best movies of 1999...It totally has everything an emotional drama movie would need, like, [[awesome]] [[narratives]] and [[alright]] character interactions.",0.002768576145172119,0.0037894248962402344,1,1,1,40,"Failed"
"Cool [[idea]]... botched [[writing]], botched [[directing]], botched [[editing]], botched acting.","Cool [[concept]]... botched [[handwriting]], botched [[instructing]], botched [[edited]], botched acting.",0.004988431930541992,0.20501601696014404,0,0,0,14,"Failed"
"'It's [[easy]] to kill a monster, but it's hard to kill a human being.","'It's [[easier]] to kill a monster, but it's hard to kill a human being.",0.48332977294921875,0.5459747314453125,1,0,1,2,"Successful"
"by the way it looks at the other comments made, it seems that a lot of people did not get the point to the flick.","by the way it looks at the other comments made, it seems that a lot of people did not get the point to the flick.",0.656940221786499,0.656940221786499,0,0,1,1,"Skipped"
"[[After]] 30+ [[years]] of hiatus, once again I immerse myself in the [[mist]] of uplifting melancholy.","[[Upon]] 30+ [[yrs]] of hiatus, once again I immerse myself in the [[fog]] of uplifting melancholy.",0.004945278167724609,0.007945060729980469,1,1,1,8,"Failed"
"[[Outlandish]] [[premise]] that rates low on plausibility and unfortunately [[also]] [[struggles]] feebly to raise laughs or interest.","[[Flamboyant]] [[supposition]] that rates low on plausibility and unfortunately [[additionally]] [[struggle]] feebly to raise laughs or interest.",0.013051509857177734,0.18141520023345947,0,0,0,30,"Failed"
"Were I not with [[friends]], and so [[cheap]], I [[would]] have walked out.It failed [[miserably]] as satire and didn't even have the redemption of camp.","Were I not with [[friendships]], and so [[inexpensive]], I [[could]] have walked out.It failed [[spectacularly]] as satire and didn't even have the redemption of camp.",0.0017600059509277344,0.0039446353912353516,0,0,0,21,"Failed"
"If it wasn't for the terrific music, I would not hesitate to give this cinematic underachievement 2/10.","If it wasn't for the terrific music, I would not hesitate to give this cinematic underachievement 2/10.",0.9955412745475769,0.9955412745475769,1,1,0,1,"Skipped"
"[[Really]] bad Italian horror movie, a sort of remake of Hammer infamous Frankenstein must be [[destroyed]], this time with a [[lady]] [[Frankenstein]] taking over the business from father.","[[Genuinely]] bad Italian horror movie, a sort of remake of Hammer infamous Frankenstein must be [[destroys]], this time with a [[damsel]] [[Casanova]] taking over the business from father.",0.0020662546157836914,0.003336608409881592,0,0,0,20,"Failed"
"[[Although]] it has been remade several [[times]], this movie is a classic if you are seeing it for the [[first]] time.","[[Despite]] it has been remade several [[dates]], this movie is a classic if you are seeing it for the [[fiirst]] time.",0.0032535791397094727,0.004159688949584961,1,1,1,31,"Failed"
"As long as you go into this movie knowing that it's terrible: bad acting, bad ""effects,"" bad story, bad... everything, then you'll love it.","As long as you go into this movie knowing that it's terrible: bad acting, bad ""effects,"" bad story, bad... everything, then you'll love it.",0.9933701157569885,0.9933701157569885,0,0,1,1,"Skipped"
"I [[wish]] they [[would]] just make a special section in the [[video]] rental stores for [[movies]] like this.","I [[desiring]] they [[should]] just make a special section in the [[videotaping]] rental stores for [[movie]] like this.",0.06567376852035522,0.18892240524291992,0,0,0,13,"Failed"
"A [[fine]] western, following the fate of those who possess the prize winning gun, a Winchester '73.","A [[fined]] western, following the fate of those who possess the prize winning gun, a Winchester '73.",0.00295335054397583,0.5473874807357788,1,0,1,3,"Successful"
"I [[decided]] to [[hire]] out this [[movie]] along with a few other [[old]] horror movies.","I [[opted]] to [[recruiting]] out this [[film]] along with a few other [[ancient]] horror movies.",0.07963329553604126,0.5251321792602539,0,1,0,18,"Successful"
"[[For]] [[pure]] gothic [[vampire]] cheese [[nothing]] can compare to the Subspecies films.I highly recommend each and every one of them.","[[During]] [[unadulterated]] gothic [[vamp]] cheese [[nothin]] can compare to the Subspecies films.I highly recommend each and every one of them.",0.008246183395385742,0.4659448266029358,1,1,1,14,"Failed"
"[[Did]] Sandra ([[yes]], she [[must]] have) know we [[would]] still be here for her some nine years later?","[[Could]] Sandra ([[oui]], she [[needs]] have) know we [[should]] still be here for her some nine years later?",0.03683829307556152,0.34850579500198364,1,1,1,13,"Failed"
"It is nice to [[see]] a [[show]] that has a little more content than just blood and guts for a change!","It is nice to [[consults]] a [[display]] that has a little more content than just blood and guts for a change!",0.04468506574630737,0.5817915797233582,1,0,1,16,"Successful"
"A [[great]] [[film]] in its [[genre]], the direction, acting, most [[especially]] the casting of the film makes it even more powerful.A must see.","A [[prodigious]] [[movie]] in its [[genus]], the direction, acting, most [[peculiarly]] the casting of the film makes it even more powerful.A must see.",0.0029039382934570312,0.008264899253845215,1,1,1,50,"Failed"
"its too bad that no one knows anything about this movie, and it gets old telling people it's rap's version of spinal tap.","its too bad that no one knows anything about this movie, and it gets old telling people it's rap's version of spinal tap.",0.800930380821228,0.800930380821228,0,0,1,1,"Skipped"
"[[Nicely]] done evil little comedy pitting the FBI against organized crime with a nice lady caught in the middle.","[[Respectfully]] done evil little comedy pitting the FBI against organized crime with a nice lady caught in the middle.",0.0075997114181518555,0.8487381935119629,1,0,1,8,"Successful"
"Otto Preminger's ""Porgy and Bess"" [[stands]], to date, as a [[great]] American [[musical]].","Otto Preminger's ""Porgy and Bess"" [[standing]], to date, as a [[prodigious]] American [[music]].",0.002549111843109131,0.76454758644104,1,0,1,27,"Successful"
"One of those [[TV]] [[films]] you [[saw]] in the seventies that [[scared]] the hell out of you when you were a kid but still gives you an eerie feeling.","One of those [[TELEVISIONS]] [[kino]] you [[watched]] in the seventies that [[spooked]] the hell out of you when you were a kid but still gives you an eerie feeling.",0.0038567185401916504,0.02025020122528076,1,1,1,31,"Failed"
"Well, I am SO glad I watched this on HBO instead of paying for it in the theaters or video store.","Well, I am SO glad I watched this on HBO instead of paying for it in the theaters or video store.",0.871925413608551,0.871925413608551,1,1,0,1,"Skipped"
"Despite its interesting premise, 'Sniper' is [[quite]] tedious.With a [[tighter]] [[script]] and sharper directing it could have been electrifying; instead it plods along with [[little]] tension.","Despite its interesting premise, 'Sniper' is [[rather]] tedious.With a [[stricter]] [[scripts]] and sharper directing it could have been electrifying; instead it plods along with [[petite]] tension.",0.0029912590980529785,0.07621997594833374,0,0,0,25,"Failed"
"this is a [[great]] [[movie]] for all Corey Feldman [[fans]].","this is a [[prodigious]] [[films]] for all Corey Feldman [[enthusiasts]].",0.003205239772796631,0.016610443592071533,1,1,1,25,"Failed"
"Working with one of the best Shakespeare sources, this film manages to be creditable to it's source, whilst still appealing to a wider audience.","Working with one of the best Shakespeare sources, this film manages to be creditable to it's source, whilst still appealing to a wider audience.",0.9809320569038391,0.9809320569038391,1,1,0,1,"Skipped"
"No [[offense]] to [[anyone]] who saw this and [[liked]] it, but I hated it!","No [[offences]] to [[everybody]] who saw this and [[enjoyed]] it, but I hated it!",0.007565140724182129,0.03663915395736694,0,0,0,18,"Failed"
"This movie was 100% [[boring]], i swear i almost [[died]] from boredom at the theater.","This movie was 100% [[bore]], i swear i almost [[succumbed]] from boredom at the theater.",0.00627821683883667,0.008173346519470215,0,0,0,19,"Failed"
"I wouldn't [[rent]] this one even on [[dollar]] [[rental]] night.","I wouldn't [[leasing]] this one even on [[dollars]] [[rentals]] night.",0.014645218849182129,0.03626132011413574,0,0,0,10,"Failed"
"This is one of the funniest [[movies]] I have ever seen.","This is one of the funniest [[films]] I have ever seen.",0.008219420909881592,0.008401989936828613,1,1,1,7,"Failed"
"Pretty [[dreadful]] [[movie]] about [[several]] [[unbalanced]] young people in a car starts off reasonably well but becomes more bizarre and hard to swallow as it progresses.","Pretty [[spooky]] [[flick]] about [[many]] [[asymmetrical]] young people in a car starts off reasonably well but becomes more bizarre and hard to swallow as it progresses.",0.002534151077270508,0.2612401247024536,0,0,0,34,"Failed"
"i [[found]] the [[story]] to be just enough of a thriller that the [[wonderful]] henry mancici music didn't lull me.","i [[uncovered]] the [[narratives]] to be just enough of a thriller that the [[brilliant]] henry mancici music didn't lull me.",0.00255584716796875,0.02659374475479126,1,1,1,31,"Failed"
"This [[movie]] shows me, that americans have no knowledge about the situation in the sad balkan-brother war!","This [[cinematographic]] shows me, that americans have no knowledge about the situation in the sad balkan-brother war!",0.18202346563339233,0.7098541259765625,0,1,0,10,"Successful"
"This [[film]] [[captures]] the true [[struggle]] with identity that is ongoing in our teenage years.","This [[movies]] [[caught]] the true [[battling]] with identity that is ongoing in our teenage years.",0.002755880355834961,0.005847036838531494,1,1,1,23,"Failed"
"This [[film]] lingered and lingered at a [[small]] [[movie]] theater in town, and the word-of-mouth buzz got me to [[see]] it.","This [[kino]] lingered and lingered at a [[minor]] [[movies]] theater in town, and the word-of-mouth buzz got me to [[seeing]] it.",0.06740468740463257,0.24206852912902832,1,1,1,19,"Failed"
"I have [[probably]] [[seen]] this movie over fifty [[times]] by now because of the [[kids]] they just cant get enough of Spirit.","I have [[presumably]] [[noticed]] this movie over fifty [[period]] by now because of the [[child]] they just cant get enough of Spirit.",0.019340574741363525,0.6443223357200623,1,0,1,37,"Successful"
"[[Despite]] the [[high]] [[ratings]] given to this film by IMDB users, this is [[nothing]] more than your typical girl-with-a-bad-childhood-obsessively-stalks-married-man film.","[[Whilst]] the [[higher]] [[appraisals]] given to this film by IMDB users, this is [[anything]] more than your typical girl-with-a-bad-childhood-obsessively-stalks-married-man film.",0.007585465908050537,0.5742346048355103,0,1,0,28,"Successful"
"More suspenseful, more subtle, much, much more disturbing....","More suspenseful, more subtle, much, much more disturbing....",0.9962522983551025,0.9962522983551025,1,1,0,1,"Skipped"
"Moonwalker is such a [[great]] movie, from [[start]] to [[finish]] you cant take your [[eyes]] away.","Moonwalker is such a [[prodigious]] movie, from [[launch]] to [[finalize]] you cant take your [[eye]] away.",0.002268850803375244,0.02380436658859253,1,1,1,49,"Failed"
"I don't believe it... Luc Besson is not only a genius now...he has [[always]] been one... this [[film]] is for [[everyone]] who likes [[real]] good deep films...just perfect!","I don't believe it... Luc Besson is not only a genius now...he has [[incessantly]] been one... this [[cinematography]] is for [[somebody]] who likes [[actual]] good deep films...just perfect!",0.009083569049835205,0.13761842250823975,1,1,1,42,"Failed"
"not a [[Larry]] Mcmurty [[masterpiece]] but it [[stands]] on its own as a [[good]] western, any of the lonesome doves do.","not a [[Lar]] Mcmurty [[centerpiece]] but it [[standing]] on its own as a [[alright]] western, any of the lonesome doves do.",0.004352986812591553,0.027066409587860107,1,1,1,6,"Failed"
"I [[found]] this a very [[enjoyable]] light hearted [[comedy]] set in Wales with some [[truly]] funny sequences highlighting the rivalry between two funeral directors.","I [[uncovered]] this a very [[pleasurable]] light hearted [[parody]] set in Wales with some [[really]] funny sequences highlighting the rivalry between two funeral directors.",0.002061188220977783,0.012070178985595703,1,1,1,22,"Failed"
"I [[cant]] go for [[long]] [[describing]] this tittle, [[simply]] because I do not feel strong about it.","I [[isnt]] go for [[longer]] [[outlined]] this tittle, [[merely]] because I do not feel strong about it.",0.008209228515625,0.03527742624282837,0,0,0,27,"Failed"
"Great movie - especially the music - Etta James - ""At Last"".This speaks volumes when you have finally found that special someone.","Great movie - especially the music - Etta James - ""At Last"".This speaks volumes when you have finally found that special someone.",0.9945864081382751,0.9945864081382751,1,1,0,1,"Skipped"
"[[If]] you've ever had a [[mad]] week-end out with your [[mates]] then you'll appreciate this film.[[Excellent]] fun and a laugh a minute.","[[Unless]] you've ever had a [[lunatic]] week-end out with your [[buddies]] then you'll appreciate this film.[[Superb]] fun and a laugh a minute.",0.006077587604522705,0.7862346172332764,1,0,1,36,"Successful"
"A very [[comical]] but down to [[earth]] look into the behind the scene workings of an Australian bowling club.","A very [[farcical]] but down to [[terra]] look into the behind the scene workings of an Australian bowling club.",0.007992267608642578,0.028250157833099365,1,1,1,12,"Failed"
"The Disney studios' remake of their own 1965 slapstick classic concerns a clever feline leading an F.B.I. agent to a kidnapped woman.","The Disney studios' remake of their own 1965 slapstick classic concerns a clever feline leading an F.B.I. agent to a kidnapped woman.",0.8330948352813721,0.8330948352813721,1,1,0,1,"Skipped"
"I [[know]] this is a made for [[TV]] [[movie]], and the acting in [[made]] for TV movies is usually sub-par, but it's absolutely horrendous in this film.","I [[savoir]] this is a made for [[TELEVISIONS]] [[cinematic]], and the acting in [[accomplished]] for TV movies is usually sub-par, but it's absolutely horrendous in this film.",0.006459653377532959,0.8224606513977051,0,1,0,18,"Successful"
"[[In]] my opinion this is the best Oliver [[Stone]] flick -- [[probably]] more because of Bogosian's influence than anything else.","[[Onto]] my opinion this is the best Oliver [[Pebble]] flick -- [[unquestionably]] more because of Bogosian's influence than anything else.",0.0022974610328674316,0.004485785961151123,1,1,1,23,"Failed"
"one day [[someone]] said lets redo the mod squad we can make it hip cool and all that YO!","one day [[anybody]] said lets redo the mod squad we can make it hip cool and all that YO!",0.3659239411354065,0.8294996023178101,0,1,0,7,"Successful"
"Well, i [[thought]] the [[movie]] was blah 1/10.","Well, i [[ideas]] the [[films]] was blah 1/10.",0.044049859046936035,0.2053784728050232,0,0,0,12,"Failed"
"To [[begin]] with its a rip off of the Japanese film Battle Royal except it's missing the one thing that made BR unique, balls.","To [[starting]] with its a rip off of the Japanese film Battle Royal except it's missing the one thing that made BR unique, balls.",0.11747747659683228,0.6833040714263916,0,1,0,15,"Successful"
"[[At]] one point in this waste of celluloid, Charles [[Dance]] as some sort of meant-to-be-funny, cyborg bad [[guy]] says ""If I had an anus, I'd soil myself"".[[Quite]].","[[Under]] one point in this waste of celluloid, Charles [[Ballet]] as some sort of meant-to-be-funny, cyborg bad [[man]] says ""If I had an anus, I'd soil myself"".[[Perfectly]].",0.005875885486602783,0.010541439056396484,0,0,0,36,"Failed"
"After eight Moto films the series had run its course, as this last entry demonstrates.","After eight Moto films the series had run its course, as this last entry demonstrates.",0.8715952634811401,0.8715952634811401,1,1,0,1,"Skipped"
"This movie is so [[bad]], I knew how it ends right after this little girl killed the first person.","This movie is so [[rotten]], I knew how it ends right after this little girl killed the first person.",0.008976936340332031,0.5788307189941406,0,1,0,18,"Successful"
"Spanish horrors are not bad at all, some are smart with interesting stories, but is not the case of ""Second Name"".","Spanish horrors are not bad at all, some are smart with interesting stories, but is not the case of ""Second Name"".",0.8806450963020325,0.8806450963020325,1,1,0,1,"Skipped"
"I [[think]] it's one of the [[greatest]] movies which are ever made, and I've [[seen]] many... The book is better, but it's [[still]] a very good movie!","I [[thought]] it's one of the [[widest]] movies which are ever made, and I've [[noticed]] many... The book is better, but it's [[however]] a very good movie!",0.0029339194297790527,0.006570398807525635,1,1,1,29,"Failed"
"I [[enjoyed]] [[every]] moment of this [[movie]], even though I knew they could never really be together.","I [[appreciated]] [[each]] moment of this [[cinema]], even though I knew they could never really be together.",0.005890250205993652,0.012329697608947754,1,1,1,24,"Failed"
"I will not [[even]] [[make]] any more [[comments]] about this movie.","I will not [[yet]] [[deliver]] any more [[remarks]] about this movie.",0.048686087131500244,0.286638081073761,0,0,0,6,"Failed"
"[[Great]] underrated movie [[great]] [[action]] good actors and a [[wonderful]] story line.","[[Splendid]] underrated movie [[excellent]] [[efforts]] good actors and a [[sublime]] story line.",0.003721296787261963,0.007241964340209961,1,1,1,67,"Failed"
"[[Summer]] Phoenix did a [[great]] performance where you really feel what she's not able to feel and you just cannot [[understand]] what she has on her mind.","[[Hsia]] Phoenix did a [[prodigious]] performance where you really feel what she's not able to feel and you just cannot [[understands]] what she has on her mind.",0.0026742219924926758,0.00928497314453125,1,1,1,13,"Failed"
"[[Brilliant]] and moving performances by Tom Courtenay and [[Peter]] Finch.","[[Resplendent]] and moving performances by Tom Courtenay and [[Peters]] Finch.",0.00596308708190918,0.008291304111480713,1,1,1,11,"Failed"
"The [[characters]] are unlikeable and the [[script]] is [[awful]].It's a [[waste]] of the talents of Deneuve and Auteuil.","The [[hallmarks]] are unlikeable and the [[screenplay]] is [[dreadful]].It's a [[squandering]] of the talents of Deneuve and Auteuil.",0.0026093125343322754,0.006646394729614258,0,0,0,21,"Failed"
"As I said the idea itself was great and it had plenty potential.","As I said the idea itself was great and it had plenty potential.",0.7387459874153137,0.7387459874153137,1,1,0,1,"Skipped"
"with very [[little]] screen time and money, Dan Katzir manages to do so much.","with very [[scant]] screen time and money, Dan Katzir manages to do so much.",0.010229110717773438,0.021546244621276855,1,1,1,5,"Failed"
"Ten [[minutes]] of people spewing gallons of pink vomit.Recurring scenes of [[enormous]] [[piles]] of [[dog]] excrement - need one say more?","Ten [[mins]] of people spewing gallons of pink vomit.Recurring scenes of [[formidable]] [[batteries]] of [[pooch]] excrement - need one say more?",0.01261228322982788,0.39288151264190674,0,0,0,41,"Failed"
"Once in a while you [[get]] [[amazed]] over how [[BAD]] a film can be, and how in the [[world]] anybody could raise money to make this kind of crap.","Once in a while you [[got]] [[appalled]] over how [[UNFAVORABLE]] a film can be, and how in the [[globe]] anybody could raise money to make this kind of crap.",0.005144715309143066,0.06589317321777344,0,0,0,28,"Failed"
